Categoria,Nombre,URL
6,CINCUENTA,https://drive.google.com/file/d/1C_vSc2IsI3o_u0QrjcvfpKwMyJ9LSfsD/preview?usp=drivesdk
6,CUARENTA,https://drive.google.com/file/d/1ztMx00sLN4-ZjkJTFgwfqVz8ttjpVAvI/preview?usp=drivesdk
6,TREINTA,https://drive.google.com/file/d/1Ym4FexkiYD8caaOGWb7D8QANY0bYwU5D/preview?usp=drivesdk
1,K,https://drive.google.com/file/d/1cXT6fXRuh4jUIgVjpU6V9e3_V2tVLYYC/preview?usp=drivesdk
6,VEINTE,https://drive.google.com/file/d/1zEEpf77KXF_mdo2row4QXnSDsjFQy5a0/preview?usp=drivesdk
6,DIECINUEVE,https://drive.google.com/file/d/19iadSPVPlhtz_TAn9thayde9Nl71BU0k/preview?usp=drivesdk
6,DIECIOCHO,https://drive.google.com/file/d/1kinrmCpplS48JjEh_dLSnuE_e-lzVwet/preview?usp=drivesdk
6,DIECISIETE,https://drive.google.com/file/d/168Sdxtm_WNaVio4GqxV5skms9yg1klpY/preview?usp=drivesdk
6,DIECISEIS,https://drive.google.com/file/d/1pCHmPxzzvYiai84Y5ySIjNnY8DVXfEgd/preview?usp=drivesdk
6,QUINCE,https://drive.google.com/file/d/17RJmEUERDo51klYipX0c2iSBgWeNdayF/preview?usp=drivesdk
6,CATORCE,https://drive.google.com/file/d/1VqO33N-ApY8RdZ4_gCKHt2BrlJDqy4tV/preview?usp=drivesdk
6,TRECE,https://drive.google.com/file/d/1ZnVGyeoViJmndkXkpggWAjuWC0pFhRBI/preview?usp=drivesdk
6,DOCE,https://drive.google.com/file/d/1oTxhoZpOvNBSppOyVBNCW2D4PMVSUNvD/preview?usp=drivesdk
6,ONCE,https://drive.google.com/file/d/1eWpOWaYcth91gNk3x3oMrpSWY-C7UNxY/preview?usp=drivesdk
6,DIEZ,https://drive.google.com/file/d/1F0i24xDEeRbJ2jRYIvwHen2jr5AELi0R/preview?usp=drivesdk
1,J,https://drive.google.com/file/d/1ocqPVOtFwolIcb2MdvCvfImO8F1w6ZIJ/preview?usp=drivesdk
8,OCHO,https://drive.google.com/file/d/13zlYYsg5hDlxHx6el90v27kxUUEJ4dyI/preview?usp=drivesdk
1,I,https://drive.google.com/file/d/1Pb-JSshgKo7O4U9rqCnjFuqFxdnfi6ME/preview?usp=drivesdk
